POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,buffer.3a_OPERACION,buffer.3a_TIPO,buffer.3a_LATITUD,buffer.3a_LONGITUD,buffer.3a_M2TOTAL,buffer.3a_PRECIOUSD,buffer.3a_BARRIO,buffer.3a_COMUNA,Matrix_distancia_f_TargetID,Matrix_distancia_f_Distance,Matrix_distancia_f_buffer.3a_OPERACION,Matrix_distancia_f_buffer.3a_TIPO,Matrix_distancia_f_buffer.3a_LATITUD,Matrix_distancia_f_buffer.3a_LONGITUD,Matrix_distancia_f_buffer.3a_M2TOTAL,Matrix_distancia_f_buffer.3a_PRECIOUSD,Matrix_distancia_f_buffer.3a_BARRIO,Matrix_distancia_f_buffer.3a_COMUNA,Matrix_.distancia_S_TargetID,Matrix_.distancia_S_Distance,count_NUMPOINTS,Matriz_distancia_O_TargetID,Matriz_distancia_O_Distance,residuos_reg_base,ln_preciousd,ln_m2total
1,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,-58.5263409,502.192335231015,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,-58.4696396292247,4986.72766804466,284,Obelisco,13490.8012432846,-0.0450838141245042,12.736700896592344,5.62040086571715
2,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,-58.5263409,1564.42005136512,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,-58.4696396292247,4957.98741482073,204,Obelisco,13547.8011696241,-0.09006510013648239,12.891691559669328,5.961005339623274
3,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,-58.5021311,909.791858657279,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,-58.4696396292247,3680.29730453987,223,Obelisco,12289.8801964393,-0.01996772964008006,12.948009990259552,5.937536205082426
4,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,-58.5021311,1265.86071404013,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,-58.4696396292247,2453.3207063209,246,Obelisco,10765.4806952719,0.13119930933419582,13.287877815881902,6.169610732491456
5,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,-58.4808913,923.810096409415,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,-58.4696396292247,712.446770512751,443,Obelisco,9090.05348818005,-0.6381875393679475,13.764217263576723,7.763446388727362
6,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,-58.4661766,162.51500787066,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,-58.4696396292247,302.650147797967,1076,Obelisco,8317.99871740623,0.5266278870118856,14.603967918328545,6.74993119378857
7,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,-58.4661766,680.207366716545,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,-58.4567097975238,397.233815536259,1026,Obelisco,7667.6963363023,-0.06904787330032464,12.86099861326992,4.795790545596741
8,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,-58.4436522,603.856117731542,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,-58.4486476540264,508.110251295538,673,Obelisco,6117.09886710845,0.5157861502356783,14.457364444136669,6.4457198193855785
9,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,-58.4436522,1516.64773650968,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,-58.426789022897204,486.946057528309,585,Obelisco,4718.6593580045,1.185675784274871,14.508657738524219,5.971261839790462
10,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,-58.4436522,1804.16575295869,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,-58.426789022897204,420.810657599728,608,Obelisco,4529.61275345298,-0.00163756701036304,12.89921982609012,5.25227342804663
11,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,-58.4199555,416.288343202091,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,-58.4123851512005,1316.85550537413,497,Obelisco,6342.25647337489,-0.5758894148179238,11.736069016284437,5.181783550292085
12,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,-58.4199555,998.516986599767,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,-58.4123851512005,259.355006977937,390,Obelisco,5064.52706875791,0.22909861718169192,12.948009990259552,5.87493073085203
13,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,-58.3805834,1452.39687905774,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,-58.3970680746626,415.544571786028,546,Obelisco,2867.43284340769,-0.2957756019315853,12.577636201962656,5.278114659230517
14,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,-58.3805834,1093.54670247855,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,-58.3814344339343,1380.66160408539,235,Obelisco,4029.07532216653,-0.31676415958400067,12.542544882151386,5.4116460518550396
15,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,-58.4808913,2210.39027587632,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,-58.4616517616898,1157.22379756955,212,Obelisco,9688.05308960776,0.11105194178032804,13.353475098367715,6.396929655216146
16,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,-58.5263409,456.975884664012,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,-58.4696396292247,5481.87338861014,354,Obelisco,13982.7329927239,-0.07492092091538982,12.429216196844383,5.147494476813453
17,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,-58.5274629,1237.34088927163,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,-58.4696396292247,5752.89892687525,181,Obelisco,13581.2163464898,-0.09271603885717784,12.254862809699606,5.0106352940962555
18,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,-58.5274629,1652.84569254726,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,-58.4696396292247,5548.73085369063,161,Obelisco,13537.8344823714,-0.20286851035509143,12.013700752882718,4.787491742782046
19,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,-58.5274629,1508.13668452887,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,-58.4696396292247,5548.80148390965,191,Obelisco,13482.4237022202,-0.653819660659931,12.100712129872347,5.703782474656201
20,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,-58.5263409,777.783384108806,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,-58.4696396292247,5574.11099136954,208,Obelisco,14182.0110626051,-0.11710435129429549,12.594730635321957,5.501258210544727
21,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,-58.5263409,1753.06794744659,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,-58.4696396292247,5382.99799865187,132,Obelisco,13564.2324021351,0.36928362930133946,12.873902018105829,5.278114659230517
22,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,-58.5263409,1058.24695721958,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,-58.4696396292247,5634.54811502322,127,Obelisco,14246.5310300204,-0.3489815551780576,12.345834587905333,5.472270673671475
23,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,-58.5274629,951.084562894462,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,-58.4863853478891,5592.32573038271,210,Obelisco,13389.6441729061,-0.1383545314695127,12.994530005894443,5.631211781821365
24,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,-58.5263409,1062.2565251342,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,-58.4696396292247,5635.76445287176,128,Obelisco,14247.7439128654,-0.3147901904298112,12.380025952653611,5.472270673671475
25,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,-58.5263409,1394.6812203336,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,-58.4696396292247,5737.74419715543,107,Obelisco,14343.9323556458,-0.2108645662289739,12.201060103706629,4.990432586778736
26,VTA,TERRENO,-34.6304039,-58.5268168,210,285000,VERSALLES,10,VTA,TERRENO,-34.6304039,-58.5268168,210,285000,VERSALLES,10,-58.5263409,940.500902111712,VTA,TERRENO,-34.6304039,-58.5268168,210,285000,VERSALLES,10,-58.4696396292247,5243.05809653275,145,Obelisco,13643.7072142807,-0.07398167469943552,12.560244459250788,5.3471075307174685
27,VTA,TERRENO,-34.6192592,-58.5267601,150,215000,VILLA REAL,10,VTA,TERRENO,-34.6192592,-58.5267601,150,215000,VILLA REAL,10,-58.5274629,1787.84573748987,VTA,TERRENO,-34.6192592,-58.5267601,150,215000,VILLA REAL,10,-58.4696396292247,5389.85102500038,185,Obelisco,13425.5583469088,-0.06918554144698563,12.2783933071098,5.0106352940962555
28,VTA,TERRENO,-34.6487204,-58.5265158,400,270000,LINIERS,9,VTA,TERRENO,-34.6487204,-58.5265158,400,270000,LINIERS,9,-58.5263409,1092.5519486201,VTA,TERRENO,-34.6487204,-58.5265158,400,270000,LINIERS,9,-58.4696396292247,5584.53663625094,138,Obelisco,14196.2921410673,-0.4934622964062403,12.506177237980511,5.991464547107982
29,VTA,TERRENO,-34.6437406,-58.5261273,325,450000,LINIERS,9,VTA,TERRENO,-34.6437406,-58.5261273,325,450000,LINIERS,9,-58.5263409,540.359604824189,VTA,TERRENO,-34.6437406,-58.5261273,325,450000,LINIERS,9,-58.4696396292247,5377.33854039412,321,Obelisco,13978.1779622789,0.13927026536124384,13.017002861746503,5.783825182329737
30,VTA,TERRENO,-34.653615,-58.525846,203,299900,LINIERS,9,VTA,TERRENO,-34.653615,-58.525846,203,299900,LINIERS,9,-58.5263409,1636.04205669112,VTA,TERRENO,-34.653615,-58.525846,203,299900,LINIERS,9,-58.4696396292247,5745.75024583881,101,Obelisco,14339.1563466396,0.00977653406333158,12.6112043647371,5.313205979041787
31,VTA,TERRENO,-34.6524664,-58.5257267,0,200000,LINIERS,9,VTA,TERRENO,-34.6524664,-58.5257267,0,200000,LINIERS,9,-58.5263409,1509.04469299616,VTA,TERRENO,-34.6524664,-58.5257267,0,200000,LINIERS,9,-58.4696396292247,5680.6710587104,122,Obelisco,14280.4155686113,NA,12.206072645530174,-Inf
32,VTA,TERRENO,-34.6141623,-58.525619,360,790000,VILLA REAL,10,VTA,TERRENO,-34.6141623,-58.525619,360,790000,VILLA REAL,10,-58.5274629,1232.92074875282,VTA,TERRENO,-34.6141623,-58.525619,360,790000,VILLA REAL,10,-58.4696396292247,5451.8448811382405,252,Obelisco,13260.8777669149,0.7182138086160698,13.579788224443204,5.886104031450156
33,VTA,TERRENO,-34.6335909,-58.5253013,160,150000,VERSALLES,10,VTA,TERRENO,-34.6335909,-58.5253013,160,150000,VERSALLES,10,-58.5263409,593.644713305946,VTA,TERRENO,-34.6335909,-58.5253013,160,150000,VERSALLES,10,-58.4696396292247,5113.9027356015,200,Obelisco,13589.666630605,-0.5561808314837652,11.918390573078392,5.075173815233827
34,VTA,TERRENO,-34.6512917,-58.5246805,188,195000,LINIERS,9,VTA,TERRENO,-34.6512917,-58.5246805,188,195000,LINIERS,9,-58.5263409,1386.06391662794,VTA,TERRENO,-34.6512917,-58.5246805,188,195000,LINIERS,9,-58.4696396292247,5539.03814457608,145,Obelisco,14142.6158557115,-0.37560414900444095,12.180754837545884,5.236441962829949
35,VTA,TERRENO,-34.624261,-58.524103,160,205000,VERSALLES,10,VTA,TERRENO,-34.624261,-58.524103,160,205000,VERSALLES,10,-58.5263409,1633.88054595353,VTA,TERRENO,-34.624261,-58.524103,160,205000,VERSALLES,10,-58.4696396292247,5045.22207008224,194,Obelisco,13267.4728864217,-0.24380614644161425,12.230765258120545,5.075173815233827
36,VTA,TERRENO,-34.608865,-58.524078,329,520000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.608865,-58.524078,329,520000,VILLA DEVOTO SUR,11,-58.5274629,705.596731936851,VTA,TERRENO,-34.608865,-58.524078,329,520000,VILLA DEVOTO SUR,11,-58.4863853478891,5161.74820615077,189,Obelisco,13081.7256270642,-0.06808299734686196,13.16158409055761,5.796057750765372
37,VTA,TERRENO,-34.615139,-58.523296,241,850000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.615139,-58.523296,241,850000,VILLA DEVOTO SUR,11,-58.5274629,1383.45352727972,VTA,TERRENO,-34.615139,-58.523296,241,850000,VILLA DEVOTO SUR,11,-58.4696396292247,5214.83290690292,266,Obelisco,13058.6260042568,0.6060685650119534,13.652991628466498,5.484796933490655
38,VTA,TERRENO,-34.6295935,-58.523183,320,299000,VERSALLES,10,VTA,TERRENO,-34.6295935,-58.523183,320,299000,VERSALLES,10,-58.5263409,1069.3380756209,VTA,TERRENO,-34.6295935,-58.523183,320,299000,VERSALLES,10,-58.4696396292247,4911.3209914662,165,Obelisco,13298.9504985695,-0.2733254941648355,12.608198852372823,5.768320995793772
39,VTA,TERRENO,-34.602125,-58.5230989,945,2600000,VILLA DEVOTO NORTE,11,VTA,TERRENO,-34.602125,-58.5230989,945,2600000,VILLA DEVOTO NORTE,11,-58.5274629,416.234223068207,VTA,TERRENO,-34.602125,-58.5230989,945,2600000,VILLA DEVOTO NORTE,11,-58.4863853478891,4567.24427352412,82,Obelisco,12981.2056009101,0.758517463409793,14.77102200299171,6.851184927493743
40,VTA,TERRENO,-34.629831,-58.5230896,350,350000,VERSALLES,10,VTA,TERRENO,-34.629831,-58.5230896,350,350000,VERSALLES,10,-58.5263409,1046.4074553829,VTA,TERRENO,-34.629831,-58.5230896,350,350000,VERSALLES,10,-58.4696396292247,4902.15912133795,184,Obelisco,13296.2828530014,-0.16844801716528918,12.765688433465597,5.857933154483459
41,VTA,TERRENO,-34.631777,-58.522672,316,500000,VERSALLES,10,VTA,TERRENO,-34.631777,-58.522672,316,500000,VERSALLES,10,-58.5263409,856.036005559437,VTA,TERRENO,-34.631777,-58.522672,316,500000,VERSALLES,10,-58.4696396292247,4864.29447532201,189,Obelisco,13307.5847281477,0.2482241469994502,13.122363377404328,5.755742213586912
42,VTA,TERRENO,-34.639087,-58.522496,242,780000,LINIERS,9,VTA,TERRENO,-34.639087,-58.522496,242,780000,LINIERS,9,-58.5263409,353.328417296391,VTA,TERRENO,-34.639087,-58.522496,242,780000,LINIERS,9,-58.4696396292247,4934.8457225804,496,Obelisco,13504.256595521,0.862447679210446,13.567049198665774,5.488937726156687
43,VTA,TERRENO,-34.627738,-58.522478,440,2200000,VERSALLES,10,VTA,TERRENO,-34.627738,-58.522478,440,2200000,VERSALLES,10,-58.5263409,1285.00745989458,VTA,TERRENO,-34.627738,-58.522478,440,2200000,VERSALLES,10,-58.4696396292247,4856.35701274064,195,Obelisco,13192.8625604462,1.5354765229498528,14.603967918328545,6.0867747269123065
44,VTA,TERRENO,-34.6553546,-58.5223752,200,620000,MATADEROS,9,VTA,TERRENO,-34.6553546,-58.5223752,200,620000,MATADEROS,9,-58.5263409,1864.19070190898,VTA,TERRENO,-34.6553546,-58.5223752,200,620000,MATADEROS,9,-58.4696396292247,5554.53181445546,136,Obelisco,14123.1255083453,0.9083676752923132,13.337474757021274,5.298317366548036
45,VTA,TERRENO,-34.6583032,-58.5222934,199,350000,MATADEROS,9,VTA,TERRENO,-34.6583032,-58.5222934,199,350000,MATADEROS,9,-58.5263409,2187.20024356687,VTA,TERRENO,-34.6583032,-58.5222934,199,350000,MATADEROS,9,-58.4696396292247,5716.22943746696,80,Obelisco,14251.9228591489,0.3395242601103189,12.765688433465597,5.293304824724492
46,VTA,TERRENO,-34.6259821,-58.5222583,412,390000,VERSALLES,10,VTA,TERRENO,-34.6259821,-58.5222583,412,390000,VERSALLES,10,-58.5263409,1478.20243514292,VTA,TERRENO,-34.6259821,-58.5222583,412,390000,VERSALLES,10,-58.4696396292247,4853.46637642598,204,Obelisco,13135.2530230457,-0.15598615231779245,12.873902018105829,6.021023349349527
47,VTA,TERRENO,-34.6071459,-58.5222202,180,580000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.6071459,-58.5222202,180,580000,VILLA DEVOTO SUR,11,-58.5274629,653.774442054471,VTA,TERRENO,-34.6071459,-58.5222202,180,580000,VILLA DEVOTO SUR,11,-58.4863853478891,4906.00803266964,132,Obelisco,12904.5989571123,0.39520225557376343,13.270783382522602,5.19295685089021
48,VTA,TERRENO,-34.6498199,-58.5219996,160,180000,LINIERS,9,VTA,TERRENO,-34.6498199,-58.5219996,160,180000,LINIERS,9,-58.5263409,1277.9671074562,VTA,TERRENO,-34.6498199,-58.5219996,160,180000,LINIERS,9,-58.4696396292247,5248.04146797268,174,Obelisco,13853.8445672298,-0.360964877219927,12.100712129872347,5.075173815233827
49,VTA,TERRENO,-34.6505473,-58.5215496,373,378000,LINIERS,9,VTA,TERRENO,-34.6505473,-58.5215496,373,378000,LINIERS,9,-58.5263409,1367.56823577569,VTA,TERRENO,-34.6505473,-58.5215496,373,378000,LINIERS,9,-58.4696396292247,5243.66279042929,180,Obelisco,13845.5215584491,-0.11595928598624586,12.842649474601725,5.921578419643816
50,VTA,TERRENO,-34.6016655,-58.5214115,213,350000,VILLA DEVOTO NORTE,11,VTA,TERRENO,-34.6016655,-58.5214115,213,350000,VILLA DEVOTO NORTE,11,-58.5274629,579.097674681037,VTA,TERRENO,-34.6016655,-58.5214115,213,350000,VILLA DEVOTO NORTE,11,-58.4863853478891,4419.16535563596,103,Obelisco,12827.2807899033,-0.37208666965473,12.765688433465597,5.3612921657094255
51,VTA,TERRENO,-34.6259107,-58.5206433,151,165000,VERSALLES,10,VTA,TERRENO,-34.6259107,-58.5206433,151,165000,VERSALLES,10,-58.5263409,1529.9024350019,VTA,TERRENO,-34.6259107,-58.5206433,151,165000,VERSALLES,10,-58.4696396292247,4707.15658133573,223,Obelisco,12988.3080115971,-0.4268805764097141,12.013700752882718,5.017279836814924
52,VTA,TERRENO,-34.60496,-58.5206,245,650000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.60496,-58.5206,245,650000,VILLA DEVOTO SUR,11,-58.5274629,660.640049166822,VTA,TERRENO,-34.60496,-58.5206,245,650000,VILLA DEVOTO SUR,11,-58.4863853478891,4626.73492516947,117,Obelisco,12751.3031432303,0.32814001465114534,13.38472764187182,5.501258210544727
53,VTA,TERRENO,-34.6462703,-58.5201662,275,320000,LINIERS,9,VTA,TERRENO,-34.6462703,-58.5201662,275,320000,LINIERS,9,-58.5263409,996.960230053467,VTA,TERRENO,-34.6462703,-58.5201662,275,320000,LINIERS,9,-58.4696396292247,4943.92690788277,217,Obelisco,13555.9029461344,-0.10357736647635654,12.676076274775909,5.616771097666572
54,VTA,TERRENO,-34.6040801,-58.5201252,245,480000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.6040801,-58.5201252,245,480000,VILLA DEVOTO SUR,11,-58.5274629,680.866626014,VTA,TERRENO,-34.6040801,-58.5201252,245,480000,VILLA DEVOTO SUR,11,-58.4863853478891,4525.6128648974,112,Obelisco,12707.1414491118,0.02495375566340516,13.081541382884074,5.501258210544727
55,VTA,TERRENO,-34.60578,-58.519866,290,690000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.60578,-58.519866,290,690000,VILLA DEVOTO SUR,11,-58.5274629,755.298683037424,VTA,TERRENO,-34.60578,-58.519866,290,690000,VILLA DEVOTO SUR,11,-58.4863853478891,4649.199696853,137,Obelisco,12685.2293571797,0.2888593387505254,13.444446876573442,5.66988092298052
56,VTA,TERRENO,-34.5972486,-58.5198471,433,650000,VILLA DEVOTO NORTE,11,VTA,TERRENO,-34.5972486,-58.5198471,433,650000,VILLA DEVOTO NORTE,11,-58.5124313,906.630127004388,VTA,TERRENO,-34.5972486,-58.5198471,433,650000,VILLA DEVOTO NORTE,11,-58.4863853478891,3986.84693311479,91,Obelisco,12702.4047545163,-0.1695693296825645,13.38472764187182,6.07073772800249
57,VTA,TERRENO,-34.627572,-58.51981,1310,1400000,VERSALLES,10,VTA,TERRENO,-34.627572,-58.51981,1310,1400000,VERSALLES,10,-58.5263409,1389.32667564796,VTA,TERRENO,-34.627572,-58.51981,1310,1400000,VERSALLES,10,-58.4696396292247,4613.65602914683,220,Obelisco,12949.5454713686,0.4429509752915056,14.151982794585487,7.177782416195197
58,VTA,TERRENO,-34.6138793,-58.5197657,190,350000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.6138793,-58.5197657,190,350000,VILLA DEVOTO SUR,11,-58.5274629,1383.55402245776,VTA,TERRENO,-34.6138793,-58.5197657,190,350000,VILLA DEVOTO SUR,11,-58.4696396292247,4961.43122550105,295,Obelisco,12723.351827309,-0.14163604522362397,12.765688433465597,5.247024072160486
59,VTA,TERRENO,-34.6493822,-58.5197387,216,250000,LINIERS,9,VTA,TERRENO,-34.6493822,-58.5197387,216,250000,LINIERS,9,-58.5263409,1313.6194393945,VTA,TERRENO,-34.6493822,-58.5197387,216,250000,LINIERS,9,-58.4696396292247,5038.96704689009,204,Obelisco,13643.3037465812,-0.20865491479487056,12.429216196844383,5.375278407684165
60,VTA,TERRENO,-34.6120122,-58.5194079,0,570000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.6120122,-58.5194079,0,570000,VILLA DEVOTO SUR,11,-58.5124313,1219.74876027144,VTA,TERRENO,-34.6120122,-58.5194079,0,570000,VILLA DEVOTO SUR,11,-58.4696396292247,5013.17085982064,262,Obelisco,12674.0936617982,NA,13.253391639810733,-Inf
61,VTA,TERRENO,-34.6425032,-58.5192796,170,370000,LINIERS,9,VTA,TERRENO,-34.6425032,-58.5192796,170,370000,LINIERS,9,-58.5263409,762.460295463373,VTA,TERRENO,-34.6425032,-58.5192796,170,370000,LINIERS,9,-58.4696396292247,4735.86486043561,303,Obelisco,13339.4004471783,0.32398801696777335,12.821258284620408,5.135798437050262
62,VTA,TERRENO,-34.6535433,-58.5191575,114,210000,LINIERS,9,VTA,TERRENO,-34.6535433,-58.5191575,114,210000,LINIERS,9,-58.5263409,1755.65821801923,VTA,TERRENO,-34.6535433,-58.5191575,114,210000,LINIERS,9,-58.4696396292247,5198.95840156022,171,Obelisco,13772.2074799389,-0.00779871170454298,12.254862809699606,4.736198448394496
63,VTA,TERRENO,-34.6134689,-58.5191326,3000,1600000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.6134689,-58.5191326,3000,1600000,VILLA DEVOTO SUR,11,-58.5124313,1348.26692418167,VTA,TERRENO,-34.6134689,-58.5191326,3000,1600000,VILLA DEVOTO SUR,11,-58.4696396292247,4925.19511478079,274,Obelisco,12661.5746207674,-0.2418456676649585,14.28551418721001,8.006367567650246
64,VTA,TERRENO,-34.6138529,-58.5190936,164,290000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.6138529,-58.5190936,164,290000,VILLA DEVOTO SUR,11,-58.5124313,1384.73437620215,VTA,TERRENO,-34.6138529,-58.5190936,164,290000,VILLA DEVOTO SUR,11,-58.4696396292247,4905.49606400009,272,Obelisco,12661.6915933294,-0.2432907006036138,12.577636201962656,5.099866427824199
65,VTA,TERRENO,-34.6210784,-58.5188038,162,225000,VILLA REAL,10,VTA,TERRENO,-34.6210784,-58.5188038,162,225000,VILLA REAL,10,-58.5263409,2091.49238500356,VTA,TERRENO,-34.6210784,-58.5188038,162,225000,VILLA REAL,10,-58.4696396292247,4633.24381016319,221,Obelisco,12731.0290546956,-0.06890768659822567,12.323855681186558,5.087596335232384
66,VTA,TERRENO,-34.6475,-58.51798,299,335000,LINIERS,9,VTA,TERRENO,-34.6475,-58.51798,299,335000,LINIERS,9,-58.5263409,1226.19063696095,VTA,TERRENO,-34.6475,-58.51798,299,335000,LINIERS,9,-58.4696396292247,4807.77839639782,208,Obelisco,13416.8369947215,-0.10689269326394718,12.721885810807203,5.700443573390687
67,VTA,TERRENO,-34.58967,-58.517972,163,880000,VILLA DEVOTO NORTE,11,VTA,TERRENO,-34.58967,-58.517972,163,880000,VILLA DEVOTO NORTE,11,-58.5170793,957.333971483684,VTA,TERRENO,-34.58967,-58.517972,163,880000,VILLA DEVOTO NORTE,11,-58.4863853478891,3361.37504299804,89,Obelisco,12607.3971214558,0.7069783764686458,13.687677186454389,5.093750200806762
68,VTA,TERRENO,-34.601866,-58.51793,466,1500000,VILLA DEVOTO NORTE,11,VTA,TERRENO,-34.601866,-58.51793,466,1500000,VILLA DEVOTO NORTE,11,-58.5124313,511.854778042293,VTA,TERRENO,-34.601866,-58.51793,466,1500000,VILLA DEVOTO NORTE,11,-58.4863853478891,4208.76529899315,140,Obelisco,12507.5834429387,0.6235567684436928,14.22097566607244,6.1441856341256456
69,VTA,TERRENO,-34.593291,-58.517883,530,580000,VILLA DEVOTO NORTE,11,VTA,TERRENO,-34.593291,-58.517883,530,580000,VILLA DEVOTO NORTE,11,-58.5124313,1152.54168304481,VTA,TERRENO,-34.593291,-58.517883,530,580000,VILLA DEVOTO NORTE,11,-58.4863853478891,3575.00702161907,103,Obelisco,12555.6555788535,-0.4021913769522377,13.270783382522602,6.272877006546167
