POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,buffer 3a_OPERACION,buffer 3a_TIPO,buffer 3a_LATITUD,buffer 3a_LONGITUD,buffer 3a_M2TOTAL,buffer 3a_PRECIOUSD,buffer 3a_BARRIO,buffer 3a_COMUNA,Matrix_distancia_f_TargetID,Matrix_distancia_f_Distance,Matrix_distancia_f_buffer 3a_OPERACION,Matrix_distancia_f_buffer 3a_TIPO,Matrix_distancia_f_buffer 3a_LATITUD,Matrix_distancia_f_buffer 3a_LONGITUD,Matrix_distancia_f_buffer 3a_M2TOTAL,Matrix_distancia_f_buffer 3a_PRECIOUSD,Matrix_distancia_f_buffer 3a_BARRIO,Matrix_distancia_f_buffer 3a_COMUNA,Matrix_ distancia_S_TargetID,Matrix_ distancia_S_Distance,count_NUMPOINTS,Matriz_distancia_O_TargetID,Matriz_distancia_O_Distance
793,VTA,TERRENO,-34.568097,-58.472151,254,890000,BELGRANO,13,VTA,TERRENO,-34.568097,-58.472151,254,890000,BELGRANO,13,-58.4753485,430.226787535126,VTA,TERRENO,-34.568097,-58.472151,254,890000,BELGRANO,13,-58.4810135036721,1348.81430340113,227,Obelisco,9200.41507582165
794,VTA,TERRENO,-34.58512,-58.4721256,1400,8000000,PARQUE CHAS,15,VTA,TERRENO,-34.58512,-58.4721256,1400,8000000,PARQUE CHAS,15,-58.4878391,1847.08343937919,VTA,TERRENO,-34.58512,-58.4721256,1400,8000000,PARQUE CHAS,15,-58.4742408261771,471.253990500633,302,Obelisco,8557.74499678838
795,VTA,TERRENO,-34.5849864,-58.4721237,275,590000,PARQUE CHAS,15,VTA,TERRENO,-34.5849864,-58.4721237,275,590000,PARQUE CHAS,15,-58.4878391,1837.99330455995,VTA,TERRENO,-34.5849864,-58.4721237,275,590000,PARQUE CHAS,15,-58.4742408261771,457.863092731068,303,Obelisco,8561.16823082743
796,VTA,TERRENO,-34.5827764,-58.4721123,280,650000,VILLA ORTUZAR,15,VTA,TERRENO,-34.5827764,-58.4721123,280,650000,VILLA ORTUZAR,15,-58.4878391,1697.80464379534,VTA,TERRENO,-34.5827764,-58.4721123,280,650000,VILLA ORTUZAR,15,-58.4742408261771,258.562144739869,279,Obelisco,8623.06502430951
797,VTA,TERRENO,-34.6345504,-58.4720847,258,1000000,FLORES NORTE,7,VTA,TERRENO,-34.6345504,-58.4720847,258,1000000,FLORES NORTE,7,-58.4808913,842.780226068697,VTA,TERRENO,-34.6345504,-58.4720847,258,1000000,FLORES NORTE,7,-58.4696396292247,481.707941807555,750,Obelisco,8976.03813075942
798,VTA,TERRENO,-34.677981,-58.472058,340,175000,VILLA LUGANO,8,VTA,TERRENO,-34.677981,-58.472058,340,175000,VILLA LUGANO,8,-58.4769699,459.943028202964,VTA,TERRENO,-34.677981,-58.472058,340,175000,VILLA LUGANO,8,-58.4616517616898,3962.48945718391,411,Obelisco,11690.1298780064
799,VTA,TERRENO,-34.5416773,-58.4720066,0,1300000,NUNEZ,13,VTA,TERRENO,-34.5416773,-58.4720066,0,1300000,NUNEZ,13,-58.4680326,678.483415279303,VTA,TERRENO,-34.5416773,-58.4720066,0,1300000,NUNEZ,13,-58.4623784082243,1783.46250913279,391,Obelisco,10779.7971380728
800,VTA,TERRENO,-34.6220266,-58.471908,181,420000,FLORES NORTE,7,VTA,TERRENO,-34.6220266,-58.471908,181,420000,FLORES NORTE,7,-58.4661766,832.843206045393,VTA,TERRENO,-34.6220266,-58.471908,181,420000,FLORES NORTE,7,-58.4696396292247,985.169527772205,461,Obelisco,8528.68180648396
801,VTA,TERRENO,-34.6439933,-58.4718872,563,400000,PARQUE AVELLANEDA,9,VTA,TERRENO,-34.6439933,-58.4718872,563,400000,PARQUE AVELLANEDA,9,-58.4808913,1530.55298808419,VTA,TERRENO,-34.6439933,-58.4718872,563,400000,PARQUE AVELLANEDA,9,-58.4616517616898,941.444251153925,302,Obelisco,9408.69221928953
802,VTA,TERRENO,-34.5731439,-58.4718841,182,430000,VILLA URQUIZA,12,VTA,TERRENO,-34.5731439,-58.4718841,182,430000,VILLA URQUIZA,12,-58.4789912,836.806058828035,VTA,TERRENO,-34.5731439,-58.4718841,182,430000,VILLA URQUIZA,12,-58.4742408261771,924.743170496964,191,Obelisco,8951.28344136893
